disease_name,ratio_name,causal_gene,drug_name,max_phase
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,FELBAMATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,FELBAMATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,FELBAMATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,FELBAMATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ORPHENADRINE CITRATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ORPHENADRINE CITRATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ORPHENADRINE CITRATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ORPHENADRINE CITRATE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,AMANTADINE HYDROCHLORIDE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,AMANTADINE HYDROCHLORIDE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,AMANTADINE HYDROCHLORIDE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,AMANTADINE HYDROCHLORIDE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-oleoyl-gpc (p-16:0/18:1)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ESKETAMINE HYDROCHLORIDE,4
Alzheimer disease,1-(1-enyl-palmitoyl)-2-palmitoyl-gpc (p-16:0/16:0)* to lactosyl-n-nervonoyl-sphingosine (d18:1/24:1)*,GRIN3B,ESKETAMINE HYDROCHLORIDE,4
