disease_name,ratio_name,numerator_name,numerator_tissues,denominator_name,denominator_tissues
Alzheimer disease,lignoceroyl sphingomyelin (d18:1/24:0) to 1-stearoyl-gpe (18:0),lignoceroyl sphingomyelin (d18:1/24:0),Blood | Cerebrospinal Fluid (CSF) | Saliva | Urine | All Tissues,1-stearoyl-gpe (18:0),Feces | Placenta
Death in infancy,galactonate to indolepropionate,galactonate,Blood | Feces | Urine | Erythrocyte,indolepropionate,Blood | Feces | Saliva | Urine
HDL particle size,1-stearoyl-gpe (18:0) to glycerophosphorylcholine (gpc),1-stearoyl-gpe (18:0),Feces | Placenta,glycerophosphorylcholine (gpc),Blood | Breast Milk | Cerebrospinal Fluid (CSF) | Feces | Kidney | Placenta | Prostate | Saliva | Spleen | Urine | Brain | Semen
VLDL particle size,"1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) to 1,2-dipalmitoyl-gpc (16:0/16:0)",1-palmitoyl-2-linoleoyl-gpc (16:0/18:2),Blood | Feces | Placenta | Saliva | Urine | All Tissues,"1,2-dipalmitoyl-gpc (16:0/16:0)",Blood | Feces | Placenta | Saliva | Urine
VLDL particle size,1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) to 1-palmitoyl-2-arachidonoyl-gpc (16:0/20:4n6),1-palmitoyl-2-linoleoyl-gpc (16:0/18:2),Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-palmitoyl-2-arachidonoyl-gpc (16:0/20:4n6),Blood | Feces | Placenta | Saliva | Urine | All Tissues
VLDL particle size,1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) to dihomo-linolenate (20:3n3 or n6),1-palmitoyl-2-linoleoyl-gpc (16:0/18:2),Blood | Feces | Placenta | Saliva | Urine | All Tissues,dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis
VLDL particle size,1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) to lignoceroyl sphingomyelin (d18:1/24:0),1-palmitoyl-2-linoleoyl-gpc (16:0/18:2),Blood | Feces | Placenta | Saliva | Urine | All Tissues,lignoceroyl sphingomyelin (d18:1/24:0),Blood | Cerebrospinal Fluid (CSF) | Saliva | Urine | All Tissues
VLDL particle size,"1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) to sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",1-palmitoyl-2-linoleoyl-gpc (16:0/18:2),Blood | Feces | Placenta | Saliva | Urine | All Tissues,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Blood | Placenta
VLDL particle size,1-palmitoyl-2-linoleoyl-gpc (16:0/18:2) to tricosanoyl sphingomyelin (d18:1/23:0)*,1-palmitoyl-2-linoleoyl-gpc (16:0/18:2),Blood | Feces | Placenta | Saliva | Urine | All Tissues,tricosanoyl sphingomyelin (d18:1/23:0)*,Blood | Feces | Placenta
VLDL particle size,1-stearoyl-2-linoleoyl-gpc (18:0/18:2)* to 1-palmitoyl-2-stearoyl-gpc (16:0/18:0),1-stearoyl-2-linoleoyl-gpc (18:0/18:2)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues,1-palmitoyl-2-stearoyl-gpc (16:0/18:0),Placenta | All Tissues
VLDL particle size,"1-stearoyl-2-linoleoyl-gpc (18:0/18:2)* to sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",1-stearoyl-2-linoleoyl-gpc (18:0/18:2)*,Blood | Feces | Placenta | Saliva | Urine | All Tissues,"sphingomyelin (d18:1/22:1, d18:2/22:0, d16:1/24:1)*",Blood | Placenta
VLDL particle size,dihomo-linoleate (20:2n6) to dihomo-linolenate (20:3n3 or n6),dihomo-linoleate (20:2n6),Blood | Feces | Placenta,dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis
VLDL particle size,dihomo-linolenate (20:3n3 or n6) to 10-heptadecenoate (17:1n7),dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,10-heptadecenoate (17:1n7),Blood | Feces | Placenta
VLDL particle size,dihomo-linolenate (20:3n3 or n6) to 10-nonadecenoate (19:1n9),dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,10-nonadecenoate (19:1n9),Blood | Feces | Placenta
VLDL particle size,dihomo-linolenate (20:3n3 or n6) to docosadienoate (22:2n6),dihomo-linolenate (20:3n3 or n6),Adipose Tissue | Blood | Feces | Placenta | Saliva | Epidermis,docosadienoate (22:2n6),Feces | Placenta
