nodeType,total_count
http://purl.org/oban/association,251257
https://w3id.org/biolink/vocab/Association,251257
https://metabolite-ratio-app.unil.ch/rqtl/CausalAssessment,225314
https://metabolite-ratio-app.unil.ch/rqtl/OpenTargetsDatasourceScore,33033
https://w3id.org/biolink/vocab/GeneToDiseaseOrPhenotypicFeatureAssociation,23092
https://w3id.org/biolink/vocab/GeneToPathwayAssociation,15514
https://metabolite-ratio-app.unil.ch/rqtl/MetaboliteRatio,10190
https://w3id.org/biolink/vocab/DiseaseOrPhenotypicFeature,9159
https://w3id.org/biolink/vocab/Disease,8060
https://w3id.org/biolink/vocab/Pathway,6086
https://metabolite-ratio-app.unil.ch/rqtl/VariantToMetaboliteRatioAssociation,5954
http://www.w3.org/ns/prov#Entity,5103
https://w3id.org/biolink/vocab/MolecularEntity,4276
https://metabolite-ratio-app.unil.ch/rqtl/Phenotype,3670
https://w3id.org/biolink/vocab/VariantToPhenotypicFeatureAssociation,3552
https://metabolite-ratio-app.unil.ch/rqtl/Gene,3548
http://purl.uniprot.org/core/Protein,3548
https://w3id.org/biolink/vocab/Gene,3548
https://w3id.org/biolink/vocab/Study,2663
https://metabolite-ratio-app.unil.ch/rqtl/Protein,2619
https://w3id.org/biolink/vocab/Protein,2619
https://w3id.org/biolink/vocab/PhenotypicFeature,1699
https://w3id.org/biolink/vocab/SequenceVariant,1696
https://w3id.org/biolink/vocab/ClinicalMeasurement,954
https://metabolite-ratio-app.unil.ch/rqtl/SNP,867
http://purl.obolibrary.org/obo/SO_0000694,867
https://metabolite-ratio-app.unil.ch/rqtl/Transcript,855
https://w3id.org/biolink/vocab/Transcript,855
https://metabolite-ratio-app.unil.ch/rqtl/TargetSafetyLiabilityAssociation,751
https://w3id.org/biolink/vocab/GeneToPhenotypicFeatureAssociation,751
https://metabolite-ratio-app.unil.ch/rqtl/Metabolite,728
https://w3id.org/biolink/vocab/ChemicalEntity,728
https://w3id.org/biolink/vocab/MolecularActivity,725
http://www.w3.org/ns/prov#Activity,619
https://metabolite-ratio-app.unil.ch/rqtl/IntegrationRun,612
https://metabolite-ratio-app.unil.ch/rqtl/MissenseVariant,564
https://w3id.org/biolink/vocab/DrugToGeneAssociation,528
https://w3id.org/biolink/vocab/Drug,431
https://metabolite-ratio-app.unil.ch/rqtl/ComplexTrait,352
https://metabolite-ratio-app.unil.ch/rqtl/CopyNumberVariant,314
https://w3id.org/biolink/vocab/JournalArticle,300
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,185
https://metabolite-ratio-app.unil.ch/rqtl/MetaboliteLocationAssociation,179
http://www.w3.org/2002/07/owl#DatatypeProperty,128
https://w3id.org/biolink/vocab/GrossAnatomicalStructure,74
https://metabolite-ratio-app.unil.ch/rqtl/VariantToRegulatoryFeatureOverlapAssociation,62
https://w3id.org/biolink/vocab/VariantToDiseaseAssociation,60
https://w3id.org/biolink/vocab/GenomicEntity,59
https://w3id.org/biolink/vocab/RegulatoryRegion,58
http://www.w3.org/2002/07/owl#Class,26
http://www.w3.org/2002/07/owl#ObjectProperty,20
http://www.w3.org/ns/shacl#NodeShape,19
https://w3id.org/biolink/vocab/MaterialSample,11
http://www.w3.org/2002/07/owl#TransitiveProperty,4
http://www.w3.org/2002/07/owl#SymmetricProperty,4
http://www.w3.org/2000/01/rdf-schema#Class,3
http://www.w3.org/2000/01/rdf-schema#Datatype,3
http://www.w3.org/1999/02/22-rdf-syntax-ns#List,1
http://www.w3.org/2000/01/rdf-schema#ContainerMembershipProperty,1
http://www.w3.org/2002/07/owl#Ontology,1
https://w3id.org/biolink/vocab/TranscriptionFactorBindingSite,1
https://metabolite-ratio-app.unil.ch/rqtl/DatasetRelease,1
