,nodeType,total_count
0,https://metabolite-ratio-app.unil.ch/rqtl/CausalAssessment,119076
1,http://purl.org/oban/association,19748
2,https://w3id.org/biolink/vocab/Association,19748
3,https://w3id.org/biolink/vocab/Disease,5624
4,https://w3id.org/biolink/vocab/Pathway,5112
5,https://metabolite-ratio-app.unil.ch/rqtl/MetaboliteRatio,5095
6,https://metabolite-ratio-app.unil.ch/rqtl/Protein,1284
7,https://w3id.org/biolink/vocab/MolecularEntity,1256
8,https://w3id.org/biolink/vocab/ClinicalMeasurement,954
9,https://metabolite-ratio-app.unil.ch/rqtl/SNP,867
10,http://purl.obolibrary.org/obo/SO_0000694,867
11,https://metabolite-ratio-app.unil.ch/rqtl/Gene,861
12,http://purl.uniprot.org/core/Protein,861
13,https://w3id.org/biolink/vocab/MolecularActivity,725
14,https://metabolite-ratio-app.unil.ch/rqtl/MissenseVariant,564
15,https://w3id.org/biolink/vocab/DiseaseOrPhenotypicFeature,404
16,https://metabolite-ratio-app.unil.ch/rqtl/Metabolite,395
17,https://metabolite-ratio-app.unil.ch/rqtl/ComplexTrait,352
18,https://w3id.org/biolink/vocab/PhenotypicFeature,233
19,https://metabolite-ratio-app.unil.ch/rqtl/CopyNumberVariant,157
20,https://w3id.org/biolink/vocab/Drug,131
21,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,91
22,https://w3id.org/biolink/vocab/GenomicEntity,59
23,https://w3id.org/biolink/vocab/GrossAnatomicalStructure,41
24,http://www.w3.org/2002/07/owl#Class,13
25,http://www.w3.org/2002/07/owl#ObjectProperty,10
26,http://www.w3.org/2002/07/owl#TransitiveProperty,4
27,http://www.w3.org/2002/07/owl#SymmetricProperty,4
28,http://www.w3.org/2002/07/owl#DatatypeProperty,4
29,http://www.w3.org/2000/01/rdf-schema#Class,3
30,http://www.w3.org/2000/01/rdf-schema#Datatype,3
31,http://www.w3.org/1999/02/22-rdf-syntax-ns#List,1
32,http://www.w3.org/2000/01/rdf-schema#ContainerMembershipProperty,1
33,http://www.w3.org/2002/07/owl#Ontology,1
34,http://www.w3.org/ns/prov#Entity,1
