Metabolite,Status,Locations_Found
HMDB0000220,Mapped,100
HMDB0000412,Unmapped_NoData,0
HMDB0000512,Mapped,22
HMDB0000560,Unmapped_NoData,0
HMDB0000623,Mapped,25
HMDB0000651,Mapped,40
HMDB0000695,Mapped,60
HMDB0000736,Mapped,13
HMDB0000756,Mapped,30
HMDB0000824,Mapped,57
HMDB0000826,Mapped,35
HMDB0000827,Mapped,85
HMDB0000872,Mapped,10
HMDB0001043,Mapped,83
HMDB0001161,Mapped,32
HMDB0001860,Mapped,42
HMDB0001954,Mapped,8
HMDB0001976,Mapped,15
HMDB0002000,Mapped,14
HMDB0002013,Mapped,56
HMDB0002183,Mapped,71
HMDB0002203,Mapped,14
HMDB0002302,Mapped,21
HMDB0002366,Mapped,18
HMDB0002759,Mapped,20
HMDB0002823,Mapped,8
HMDB0002925,Mapped,20
HMDB0003072,Mapped,32
HMDB0003229,Mapped,48
HMDB0004225,Mapped,12
HMDB0004949,Mapped,36
HMDB0004980,Mapped,3
HMDB0006344,Mapped,24
HMDB0006528,Mapped,34
HMDB0007257,Mapped,6
HMDB0007883,Mapped,24
HMDB0007970,Mapped,2
HMDB0007973,Mapped,26
HMDB0007991,Mapped,28
HMDB0008057,Mapped,24
HMDB0008123,Mapped,1
HMDB0008147,Mapped,25
HMDB0008993,Mapped,5
HMDB0009093,Mapped,3
HMDB0009784,Mapped,7
HMDB0009815,Mapped,7
HMDB0010169,Mapped,27
HMDB0010386,Mapped,36
HMDB0010405,Mapped,18
HMDB0011130,Mapped,3
HMDB0011206,Mapped,19
HMDB0011207,Mapped,18
HMDB0011211,Mapped,21
HMDB0011220,Mapped,2
HMDB0011343,Mapped,5
HMDB0011352,Mapped,5
HMDB0011375,Mapped,5
HMDB0011503,Mapped,7
HMDB0011517,Mapped,2
HMDB0011578,Mapped,10
HMDB0011686,Mapped,9
HMDB0011697,Mapped,18
HMDB0011756,Mapped,18
HMDB0012104,Mapped,3
HMDB0012105,Mapped,5
HMDB0012252,Mapped,8
HMDB0013034,Mapped,3
HMDB0013213,Unmapped_NoData,0
HMDB0013240,Mapped,5
HMDB0013328,Mapped,16
HMDB0013622,Mapped,8
HMDB0029159,Mapped,2
HMDB0029377,Mapped,10
HMDB0062174,Mapped,6
HMDB0062657,Mapped,7
HMDB0240313,Mapped,5
HMDB0240596,Mapped,3
HMDB0240597,Mapped,5
HMDB0240782,Unmapped_NoData,0
HMDB0242113,Unmapped_NoData,0
"HMDB0002231,HMDB0062436",Not_Found_in_XML,0
"HMDB0000634,HMDB0000620",Not_Found_in_XML,0
"HMDB0003073,HMDB0001388",Not_Found_in_XML,0
