Metabolite,Status,Locations_Found
HMDB0000562,Failed,0
HMDB0000167,Failed,0
HMDB0000222,Failed,0
HMDB0000641,Failed,0
HMDB0002000,Failed,0
HMDB0004148,Failed,0
HMDB0000792,Failed,0
HMDB0006528,Failed,0
HMDB0000933,Failed,0
HMDB0013240,Failed,0
HMDB0061714,Failed,0
HMDB0012087,Failed,0
HMDB0241922,Failed,0
HMDB0000224,Failed,0
HMDB0000670,Failed,0
HMDB0000806,Failed,0
HMDB0001954,Failed,0
HMDB0012097,Failed,0
HMDB0000730,Failed,0
HMDB0004950,Failed,0
"HMDB0006270,HMDB0000673",Failed,0
HMDB0000872,Failed,0
HMDB0010163,Failed,0
HMDB0001348,Failed,0
HMDB0001173,Failed,0
HMDB0002259,Failed,0
HMDB0000387,Failed,0
HMDB0001976,Failed,0
HMDB0000672,Failed,0
HMDB0008946,Failed,0
HMDB0013130,Failed,0
HMDB0011352,Failed,0
HMDB0011342,Failed,0
HMDB0240597,Failed,0
HMDB0029159,Failed,0
HMDB0001043,Failed,0
HMDB0002183,Failed,0
HMDB0000651,Failed,0
HMDB0011761,Failed,0
HMDB0007973,Failed,0
HMDB0009784,Failed,0
HMDB0010407,Failed,0
HMDB0012104,Failed,0
HMDB0007991,Failed,0
HMDB0011506,Failed,0
HMDB0009003,Failed,0
HMDB0061693,Failed,0
HMDB0002759,Failed,0
HMDB0008147,Failed,0
HMDB0008057,Failed,0
HMDB0007883,Failed,0
HMDB0094682,Failed,0
HMDB0032055,Failed,0
HMDB0000767,Failed,0
"HMDB0003231,HMDB0000573,HMDB0240219,HMDB0000207",Failed,0
HMDB0000535,Failed,0
HMDB0000230,Failed,0
HMDB0001991,Failed,0
HMDB0000560,Failed,0
HMDB0013288,Failed,0
HMDB0009069,Failed,0
HMDB0061634,Failed,0
HMDB0000529,Failed,0
HMDB0008994,Failed,0
HMDB0061677,Failed,0
HMDB0001325,Failed,0
HMDB0242113,Failed,0
HMDB0011578,Failed,0
HMDB0000772,Failed,0
HMDB0010382,Failed,0
HMDB0007970,Failed,0
HMDB0010169,Failed,0
HMDB0010386,Failed,0
HMDB0007982,Failed,0
"HMDB0002231,HMDB0062436",Failed,0
HMDB0000991,Failed,0
HMDB0013034,Failed,0
HMDB0240313,Failed,0
HMDB0008138,Failed,0
HMDB0004980,Failed,0
