Gene,Status,Pathways_Found
TAL1,Mapped,20
CMPK1,Mapped,20
CYP4A11,Mapped,14
CYP4A22,Mapped,20
CYP4Z1,Unmapped,0
THEM4,Mapped,20
C2CD4D,Unmapped,0
S100A10,Mapped,14
RIIAD1,Unmapped,0
NUCB1,Mapped,20
SULT2A1,Mapped,20
GLTSCR2,Unmapped,0
RP11-108K14.4,Unmapped,0
CYP2E1,Mapped,20
ADAM8,Mapped,20
PAOX,Mapped,20
SYCE1,Mapped,4
FRG2B,Unmapped,0
FADS1,Mapped,20
FADS2,Mapped,20
TMEM258,Mapped,20
BEST1,Mapped,20
FADS3,Unmapped,0
FEN1,Mapped,20
TMEM45B,Unmapped,0
NFRKB,Mapped,20
CERS4,Mapped,20
CYP4B1,Mapped,20
ABCC2,Mapped,20
SCD,Mapped,20
DNMBP,Mapped,20
BLOC1S2,Unmapped,0
ACADM,Mapped,20
CRYZ,Unmapped,0
RABGGTB,Mapped,20
MSH4,Mapped,4
SLC22A1,Mapped,20
TCP1,Mapped,20
MRPL18,Mapped,20
SOD2,Mapped,20
CYP2A6,Mapped,6
SLC1A4,Mapped,20
HSD17B11,Mapped,20
ZKSCAN5,Mapped,15
PTCD1,Unmapped,0
ZNF655,Mapped,6
TECPR1,Unmapped,0
GATS,Unmapped,0
LAMTOR4,Mapped,20
CNPY4,Unmapped,0
ZNF394,Mapped,12
GAL3ST4,Unmapped,0
ARPC1B,Mapped,20
CYP3A7,Mapped,5
SMURF1,Mapped,20
PKD2L1,Unmapped,0
COX15,Mapped,20
ZNF512,Unmapped,0
AC109828.1,Unmapped,0
NRBP1,Mapped,9
PPM1G,Unmapped,0
IFT172,Mapped,20
FAAH,Mapped,20
POMGNT1,Mapped,20
SLC22A6,Mapped,20
MYRF,Unmapped,0
PRDX1,Mapped,20
TESK2,Unmapped,0
AKR1CL1,Unmapped,0
RP11-445P17.8,Unmapped,0
AKR1C3,Mapped,20
SLC22A5,Mapped,20
AC034220.3,Unmapped,0
SLC22A4,Mapped,20
P4HA2,Mapped,9
HSPA4,Mapped,20
PDLIM4,Unmapped,0
IL13,Mapped,20
RAPGEF6,Mapped,4
ACSL6,Mapped,20
KIF3A,Mapped,20
COMT,Mapped,20
TXNRD2,Mapped,20
TMEM229B,Unmapped,0
PLEKHH1,Unmapped,0
RDH11,Mapped,20
ATG16L1,Mapped,12
UGT1A4,Mapped,12
UGT1A10,Mapped,6
MROH2A,Unmapped,0
UGT1A1,Mapped,20
UGT1A8,Mapped,20
C12orf39,Unmapped,0
PRELID1,Mapped,20
NSD1,Mapped,18
DBN1,Mapped,13
MXD3,Unmapped,0
RAB24,Mapped,20
LMAN2,Mapped,20
ACOT2,Mapped,20
DNAL1,Mapped,7
ACOT4,Mapped,20
PSEN1,Mapped,20
ACOT1,Mapped,20
NUMB,Mapped,20
SEMA6C,Unmapped,0
ZNF259,Unmapped,0
S100A11,Mapped,20
CENPC1,Mapped,20
UGT2B17,Mapped,20
UGT2B15,Mapped,15
UGT2B10,Mapped,9
UGT2A3,Mapped,18
TMPRSS11E,Unmapped,0
UGT2B7,Mapped,14
RAD54L,Mapped,11
NSUN4,Mapped,4
RP3-393E18.2,Unmapped,0
WTAP,Mapped,14
GTF2H1,Mapped,20
LDHA,Mapped,20
HPS5,Unmapped,0
SAA4,Unmapped,0
SAA2,Unmapped,0
SPTLC3,Mapped,20
ISM1,Mapped,4
C5orf56,Unmapped,0
CDC42SE2,Mapped,20
CTSK,Mapped,20
CTSS,Mapped,20
MTL5,Unmapped,0
CPT1A,Mapped,20
TMC4,Unmapped,0
CNOT3,Mapped,20
TSEN34,Mapped,3
PRPF31,Mapped,12
MBOAT7,Mapped,20
UGT1A3,Mapped,20
ALMS1P,Unmapped,0
ALMS1-IT1,Unmapped,0
AC092653.5,Unmapped,0
DGUOK,Mapped,20
ACTG2,Mapped,20
TPRKB,Mapped,3
ALMS1,Mapped,20
DCTN1,Mapped,20
CYP26B1,Mapped,20
STAMBP,Mapped,20
RAB11FIP5,Unmapped,0
NAT8,Mapped,2
FBXO41,Mapped,20
DUSP11,Unmapped,0
PECR,Mapped,20
MREG,Unmapped,0
HSD17B4,Mapped,20
PILRB,Mapped,3
TRIM4,Mapped,20
AP4M1,Mapped,20
CYP3A5,Mapped,20
ATP5J2,Mapped,12
ARVCF,Unmapped,0
TANGO2,Unmapped,0
SPAST,Mapped,20
DPY30,Mapped,20
SLC30A6,Unmapped,0
NLRC4,Mapped,11
SKP2,Mapped,20
C12orf43,Unmapped,0
GCN1L1,Mapped,4
MLEC,Mapped,20
UNC119B,Mapped,20
GPN1,Unmapped,0
RAB3IL1,Mapped,20
ERI2,Unmapped,0
ACSM5,Mapped,20
PDILT,Unmapped,0
ACSM3,Mapped,20
AC004381.6,Unmapped,0
ACSM1,Mapped,20
THUMPD1,Mapped,4
CYP2S1,Mapped,20
CYP2A7,Mapped,7
ABCC1,Mapped,20
TSC22D4,Mapped,3
OR2AE1,Mapped,3
MEPCE,Unmapped,0
AC004893.11,Unmapped,0
PVRIG,Unmapped,0
GJC3,Unmapped,0
SLC44A5,Mapped,20
CCDC66,Unmapped,0
TEX38,Unmapped,0
CYP4X1,Unmapped,0
COQ6,Mapped,20
RP3-414A15.2,Unmapped,0
HEATR4,Unmapped,0
PVRL2,Mapped,8
CLPTM1,Unmapped,0
APOC2,Mapped,20
APOC1,Mapped,20
APOC4,Mapped,20
APOE,Mapped,20
KLC1,Mapped,20
BAG5,Mapped,20
PPP1R13B,Mapped,20
TRMT61A,Mapped,3
CKB,Mapped,20
EIF5,Mapped,20
XRCC3,Mapped,20
ATP10D,Mapped,20
UGCG,Mapped,20
RP1-56L9.7,Unmapped,0
MIR3936,Unmapped,0
PAQR9,Unmapped,0
PCOLCE2,Mapped,18
BUD31,Mapped,20
NOC3L,Unmapped,0
PDLIM1,Unmapped,0
ENTPD1,Mapped,20
C10orf129,Mapped,6
CYP2C9,Mapped,17
CYP2C18,Mapped,19
CYP2C8,Mapped,17
TBC1D12,Unmapped,0
HELLS,Mapped,4
ZFYVE1,Unmapped,0
ABCG2,Mapped,20
CCDC17,Unmapped,0
IPP,Mapped,7
PIK3R3,Mapped,20
UQCRH,Mapped,20
LRRC41,Mapped,20
LURAP1,Unmapped,0
PPM1K,Mapped,20
MOSPD3,Unmapped,0
ST6GALNAC3,Mapped,20
PHGDH,Mapped,20
HMGCS2,Mapped,20
MTHFD2,Mapped,20
NAT2,Mapped,20
MCOLN3,Mapped,20
ODF2L,Unmapped,0
DDAH1,Mapped,18
MCOLN2,Mapped,20
NDUFS8,Mapped,20
THEM5,Mapped,20
PAPLN,Unmapped,0
RP11-649A18.12,Unmapped,0
ACOX1,Mapped,20
PRPSAP1,Unmapped,0
WBP2,Unmapped,0
CDK3,Unmapped,0
FOXJ1,Unmapped,0
MRPL38,Mapped,20
KYNU,Mapped,20
DCAF4,Mapped,18
SLC7A6,Mapped,20
TRADD,Mapped,20
E2F4,Mapped,20
FHOD1,Unmapped,0
FAM65A,Unmapped,0
ACD,Mapped,20
PLA2G15,Mapped,20
NFATC3,Mapped,20
PRMT7,Mapped,18
SMPD3,Mapped,20
SLC7A6OS,Unmapped,0
DUS2,Mapped,20
RAD50,Mapped,20
WDR66,Unmapped,0
PSMD9,Mapped,20
CCDC163P,Unmapped,0
ABCA7,Mapped,20
CNN2,Mapped,20
TMEM259,Unmapped,0
GRIN3B,Mapped,5
WDR18,Mapped,20
UGT1A6,Mapped,20
MYH11,Mapped,20
RP11-680G24.4,Unmapped,0
C16orf45,Unmapped,0
NTAN1,Unmapped,0
PDXDC1,Unmapped,0
RRN3,Mapped,20
CDC42BPB,Mapped,20
MARK3,Mapped,20
ASPG,Mapped,20
LYRM1,Unmapped,0
AC004791.2,Unmapped,0
CYP4F11,Mapped,20
PKN3,Mapped,20
PTRH1,Unmapped,0
TTC16,Unmapped,0
C9orf117,Unmapped,0
TOR2A,Unmapped,0
FAM129B,Unmapped,0
FPGS,Mapped,20
SH2D3C,Unmapped,0
CABP5,Unmapped,0
SLC16A9,Unmapped,0
ASRGL1,Mapped,20
