Gene,Status,Pathways_Found
AC004381.6,Unmapped,0
AC004893.11,Unmapped,0
AC093690.1,Unmapped,0
NBPF2P,Unmapped,0
RP3-414A15.2,Unmapped,0
AC004791.2,Unmapped,0
AC034220.3,Unmapped,0
AC092653.5,Unmapped,0
RP11-649A18.12,Unmapped,0
AC109828.1,Unmapped,0
C6orf201,Unmapped,0
ALMS1-IT1,Unmapped,0
ALMS1P,Unmapped,0
GS1-259H13.2,Unmapped,0
C12orf39,Unmapped,0
CORO1B,Unmapped,0
DUS2L,Mapped,13
FAM65A,Unmapped,0
FHOD1,Unmapped,0
GJC3,Unmapped,0
LTBP3,Mapped,20
LURAP1,Unmapped,0
PITPNM1,Mapped,20
PTGR2,Mapped,5
PTPRCAP,Unmapped,0
TECPR1,Unmapped,0
TEX38,Unmapped,0
TRIM54,Mapped,4
AP4M1,Mapped,20
C11orf68,Unmapped,0
CNPY4,Unmapped,0
E2F4,Mapped,20
FBXO41,Mapped,20
GAL3ST4,Unmapped,0
GATS,Unmapped,0
ISCA2,Mapped,20
ISM1,Mapped,4
MAN2C1,Mapped,20
NUDT8,Mapped,4
PDILT,Unmapped,0
PDLIM4,Unmapped,0
PLA2G15,Mapped,20
RBMS2,Unmapped,0
STAMBP,Mapped,20
UBL7,Unmapped,0
ACTN3,Mapped,14
AIP,Mapped,17
CCDC17,Unmapped,0
CDC42SE2,Mapped,20
DNAL1,Mapped,7
DPF2,Mapped,20
DUSP11,Unmapped,0
IPP,Mapped,7
MOSPD3,Unmapped,0
NFATC3,Mapped,20
SLC7A6,Mapped,20
TAL1,Mapped,20
THUMPD1,Mapped,4
TRADD,Mapped,20
ULK3,Mapped,20
ZFYVE1,Unmapped,0
ZNF394,Mapped,12
ARPC1B,Mapped,20
C12orf43,Unmapped,0
COMMD4,Mapped,20
DCTN1,Mapped,20
FAM217A,Unmapped,0
GLTSCR2,Unmapped,0
LAMTOR4,Mapped,20
PRMT7,Mapped,18
PRPSAP1,Unmapped,0
RIN1,Mapped,16
SPRYD4,Unmapped,0
ZNF259,Unmapped,0
ZNF655,Mapped,6
ACSM1,Mapped,20
CPSF4,Mapped,20
CTSF,Mapped,20
DNMBP,Mapped,20
DUS2,Mapped,20
GTF3C2,Mapped,20
NPL,Mapped,20
NUMB,Mapped,20
PKD2L1,Unmapped,0
RAB3IL1,Mapped,20
SLC7A6OS,Unmapped,0
SMURF1,Mapped,20
TRIM4,Mapped,20
ZSCAN25,Mapped,12
ACD,Mapped,20
ATP5J2,Mapped,12
BUD31,Mapped,20
CDK3,Unmapped,0
CYP4F11,Mapped,20
DCAF4,Mapped,18
GCN1L1,Mapped,4
MEPCE,Unmapped,0
PPID,Mapped,20
PRDX5,Mapped,20
RAB11FIP5,Unmapped,0
SPTLC3,Mapped,20
SYCP2L,Unmapped,0
TESK2,Unmapped,0
WBP2,Unmapped,0
ARPC1A,Mapped,20
BLOC1S2,Unmapped,0
NBPF3,Unmapped,0
SMPD3,Mapped,20
TPRKB,Mapped,3
ZKSCAN5,Mapped,15
ALPL,Mapped,18
CHUK,Mapped,20
LAMC1,Mapped,20
MRPL18,Mapped,20
NAT8,Mapped,2
NUCB1,Mapped,20
POMGNT1,Mapped,20
PTCD1,Unmapped,0
RPS6KB2,Mapped,20
SLC22A6,Mapped,20
ACSM3,Mapped,20
CYP4Z1,Unmapped,0
HEATR4,Unmapped,0
KIF3A,Mapped,20
MRPL38,Mapped,20
PPM1G,Unmapped,0
RIIAD1,Unmapped,0
SLC16A9,Unmapped,0
ACSM5,Mapped,20
CERS4,Mapped,20
CYP4B1,Mapped,20
GPN1,Unmapped,0
NAT2,Mapped,20
P4HA2,Mapped,9
PIK3R3,Mapped,20
C2CD4D,Unmapped,0
CYP4X1,Unmapped,0
DGUOK,Mapped,20
IFT172,Mapped,20
POLA2,Mapped,20
SLC44A5,Mapped,20
CTSS,Mapped,20
SULT2A1,Mapped,20
CTSK,Mapped,20
NRBP1,Mapped,9
SLC22A4,Mapped,20
CYP4A11,Mapped,14
DHX9,Mapped,20
PSEN1,Mapped,20
RAD54L,Mapped,11
S100A10,Mapped,14
ZNF512,Unmapped,0
ACSL6,Mapped,20
FAAH,Mapped,20
ELOVL2,Mapped,20
ETFDH,Mapped,20
PRDX1,Mapped,20
SLC22A5,Mapped,20
ACOT4,Mapped,20
CRYZ,Unmapped,0
MYRF,Unmapped,0
NDUFV1,Mapped,20
NSUN4,Mapped,4
STOML1,Unmapped,0
ACOT2,Mapped,20
CYP4A22,Mapped,20
ECI2,Mapped,20
SOD2,Mapped,20
ACOT1,Mapped,20
ABCC2,Mapped,20
CYP3A7,Mapped,5
GSTP1,Mapped,20
SCD,Mapped,20
ALMS1,Mapped,20
MSH4,Mapped,4
RABGGTB,Mapped,20
BEST1,Mapped,20
CYP3A5,Mapped,20
ABCC1,Mapped,20
FADS3,Unmapped,0
ACOX1,Mapped,20
THEM4,Mapped,20
FEN1,Mapped,20
TMEM258,Mapped,20
ACADM,Mapped,20
FADS2,Mapped,20
FADS1,Mapped,20
