Metabolite,Status,Pathways_Found
CHEBI:73000,Unmapped,0
CHEBI:84557,Unmapped,0
CHEBI:83040,Unmapped,0
CHEBI:83037,Unmapped,0
CHEBI:83360,Unmapped,0
CHEBI:133077,Unmapped,0
CHEBI:77807,Unmapped,0
CHEBI:4676,Unmapped,0
CHEBI:86102,Unmapped,0
CHEBI:84563,Unmapped,0
CHEBI:83880,Unmapped,0
CHEBI:74533,Unmapped,0
CHEBI:53486,Mapped,3
CHEBI:32380,Unmapped,0
CHEBI:28125,Unmapped,0
CHEBI:27781,Unmapped,0
CHEBI:42504,Unmapped,0
CHEBI:84532,Unmapped,0
CHEBI:84527,Unmapped,0
CHEBI:73002,Unmapped,0
CHEBI:89203,Unmapped,0
CHEBI:28116,Unmapped,0
CHEBI:70719,Unmapped,0
CHEBI:28717,Unmapped,0
CHEBI:15843,Unmapped,0
CHEBI:64032,Unmapped,0
CHEBI:43580,Mapped,1
CHEBI:146206,Unmapped,0
CHEBI:32425,Unmapped,0
CHEBI:72959,Unmapped,0
CHEBI:64395,Unmapped,0
CHEBI:85520,Unmapped,0
CHEBI:48430,Unmapped,0
CHEBI:74963,Unmapped,0
CHEBI:53488,Unmapped,0
CHEBI:17626,Unmapped,0
CHEBI:21949,Unmapped,0
CHEBI:76308,Unmapped,0
CHEBI:37371,Unmapped,0
CHEBI:34071,Unmapped,0
CHEBI:28821,Unmapped,0
CHEBI:37100,Unmapped,0
CHEBI:84829,Unmapped,0
CHEBI:84846,Unmapped,0
CHEBI:73004,Unmapped,0
CHEBI:84153,Unmapped,0
CHEBI:65136,Unmapped,0
CHEBI:28733,Unmapped,0
CHEBI:28661,Mapped,3
CHEBI:133693,Unmapped,0
CHEBI:166485,Unmapped,0
CHEBI:70811,Unmapped,0
CHEBI:75036,Unmapped,0
CHEBI:87986,Unmapped,0
CHEBI:17884,Unmapped,0
CHEBI:133124,Unmapped,0
CHEBI:84834,Unmapped,0
CHEBI:84814,Unmapped,0
CHEBI:28716,Mapped,3
CHEBI:78646,Unmapped,0
CHEBI:15756,Unmapped,0
CHEBI:40836,Unmapped,0
CHEBI:85525,Unmapped,0
CHEBI:25858,Mapped,2
CHEBI:39540,Unmapped,0
CHEBI:73066,Unmapped,0
CHEBI:133747,Unmapped,0
CHEBI:17786,Unmapped,0
CHEBI:21363,Mapped,1
CHEBI:133672,Unmapped,0
CHEBI:84562,Unmapped,0
CHEBI:77292,Unmapped,0
CHEBI:75038,Unmapped,0
CHEBI:28842,Unmapped,0
CHEBI:78340,Unmapped,0
CHEBI:16259,Unmapped,0
CHEBI:16244,Mapped,1
CHEBI:84838,Unmapped,0
CHEBI:53210,Mapped,1
CHEBI:17521,Unmapped,0
CHEBI:83051,Unmapped,0
CHEBI:86260,Unmapped,0
CHEBI:73212,Unmapped,0
